TIME,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,Class,Dataset
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",105.44,105.66,106.14,106.37,106.38,106.76,106.51,106.13,106.17,106.37,106.07,106.41,106.72,107,107.91,108.53,108.83,109.1,109.14,109.5,110.03,111,111.54,112.06,112.67,113.65,116.36,117.32,118.45,119.53,119.81,120.61,122.07,123.78,123.92,123.7,123.9,124.95,126.05,126.83,126.88,127.22,127.17,127.78,128.11,128.27,127.76,127.95,127.74,128.48,129.33,130.09,130.33,130.57,130.73,130.88,130.77,131.25,130.99,131.39,131.33,131.92,132.6,133.24,133.23,"Index, 2015=100",All-items HICP
Total EU,105,105.22,105.7,105.93,105.94,106.31,106.06,105.69,105.73,105.92,105.63,105.97,106.27,106.55,107.46,108.08,108.38,108.65,108.68,109.04,109.57,110.54,111.07,111.59,112.2,113.18,115.87,116.83,117.95,119.03,119.31,120.1,121.56,123.26,123.4,123.18,123.39,124.43,125.52,126.3,126.35,126.69,126.64,127.24,127.57,127.73,127.23,127.42,127.21,127.95,128.79,129.55,129.79,130.02,130.19,130.33,130.23,130.7,130.44,130.84,130.78,131.37,132.04,132.68,132.67,"Index, 2015=100",All-items HICP
European Union - 28 countries (2013-2020),105.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Index, 2015=100",All-items HICP
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",104.37,104.56,105.13,105.43,105.33,105.69,105.32,104.88,104.96,105.15,104.8,105.15,105.32,105.54,106.53,107.14,107.42,107.7,107.6,107.98,108.49,109.41,109.9,110.37,110.7,111.74,114.46,115.11,116.07,117.01,117.14,117.85,119.26,121.03,120.95,120.52,120.27,121.24,122.34,123.12,123.15,123.47,123.36,124.03,124.43,124.54,123.85,124.05,123.6,124.37,125.31,126.04,126.31,126.58,126.54,126.72,126.6,127.03,126.62,127.07,126.72,127.26,128.04,128.77,128.71,"Index, 2015=100",All-items HICP
Euro area – 20 countries (from 2023),104.37,104.55,105.12,105.42,105.32,105.68,105.31,104.87,104.95,105.14,104.79,105.13,105.31,105.53,106.52,107.12,107.4,107.69,107.6,107.97,108.48,109.4,109.89,110.36,110.69,111.73,114.45,115.11,116.07,117.02,117.16,117.87,119.27,121.04,120.96,120.53,120.28,121.25,122.35,123.13,123.17,123.48,123.37,124.04,124.44,124.55,123.86,124.06,123.62,124.38,125.32,126.05,126.32,126.59,126.56,126.73,126.61,127.05,126.63,127.08,126.73,127.28,128.05,128.78,128.72,"Index, 2015=100",All-items HICP
Euro area - 19 countries  (2015-2022),104.37,104.56,105.13,105.43,105.33,105.69,105.32,104.88,104.96,105.15,104.8,105.15,105.32,105.54,106.53,107.14,107.42,107.7,107.6,107.98,108.49,109.41,109.9,110.37,110.7,111.74,114.46,115.11,116.07,117.01,117.14,117.85,119.26,121.03,120.95,120.52,120.27,121.24,122.34,123.11,123.14,123.45,123.32,124,124.4,124.51,123.82,124.02,123.58,124.35,125.29,126.01,126.28,126.55,126.5,126.67,126.56,126.99,126.58,127.03,126.67,127.22,127.99,128.72,128.65,"Index, 2015=100",All-items HICP
Belgium,107.17,108.74,108.32,108.1,107.92,108.33,109.05,107.38,108.21,108.47,108.27,108.76,107.82,109.08,110.07,110.32,110.62,111.11,110.58,112.41,112.35,114.33,115.95,115.93,116.99,119.49,120.28,120.61,121.61,122.82,122.03,124.24,125.9,129.3,128.07,127.77,125.66,125.99,126.23,124.65,124.91,124.79,124.05,127.2,126.73,127.15,127.05,128.45,127.51,130.54,131.05,130.72,130.98,131.56,130.76,132.73,132.21,132.9,133.13,134.12,133.07,136.32,135.71,134.79,134.67,"Index, 2015=100",All-items HICP
Bulgaria,106.94,106.95,106.46,106.01,105.76,105.69,106.58,107.01,105.7,105.87,105.89,106.43,106.59,107.16,107.33,108.08,108.23,108.2,108.97,109.73,109.92,111.35,112.54,113.44,114.8,116.16,118.59,121.12,122.74,124.16,125.18,126.2,127.1,127.87,128.68,129.69,131.2,132.12,132.9,133.63,133.3,133.45,134.99,135.61,135.18,135.44,135.77,136.16,136.29,136.72,137.05,136.93,136.93,137.15,138.75,138.83,137.25,138.14,138.53,138.99,141.47,142.09,142.53,140.76,140.84,"Index, 2015=100",All-items HICP
Czechia,110.5,110.8,110.8,110.6,111.1,111.7,112.3,112.3,111.6,111.7,111.6,111.4,112.9,113.1,113.3,114,114.1,114.5,115.3,115.8,116.1,117.1,117,117.4,122.8,124.4,126.8,129.1,131.5,133.5,135.2,135.6,136.8,135.3,137.1,137.1,146.2,147.3,147.7,147.5,147.9,148.4,149,149.3,148.1,148.1,148.1,147.5,150.1,150.6,150.9,152.1,152,151.6,152.7,152.9,152.2,152.6,152.7,152.3,154.5,154.8,154.9,154.7,155.5,"Index, 2015=100",All-items HICP
Denmark,102.6,103,102.7,102.6,102.5,102.6,103.5,103.1,102.9,103.2,103,102.8,103,103.5,103.6,104.1,104.4,104.5,105.3,105,105.4,106.5,106.9,106.3,108,109,109.8,111.8,113,114,115.4,115.4,117.1,118.6,117.3,116.5,117.1,118,117.8,118.1,116.3,116.7,119.1,118.1,117.8,118.1,117.6,117,118.2,118.7,118.7,118.7,118.7,118.8,120.3,119.7,119.2,120,119.5,119.1,119.9,121.1,120.4,120.5,120.5,"Index, 2015=100",All-items HICP
Germany,105.1,105.7,105.8,106.2,106.2,106.9,106.4,106.2,105.8,105.8,104.7,105.3,106.8,107.4,107.9,108.4,108.7,109.1,109.7,109.8,110.1,110.7,111,111.3,112.3,113.3,116.1,116.9,118.2,118.1,119,119.5,122.1,123.5,123.5,122,122.6,123.8,125.1,125.8,125.6,126.1,126.7,127.2,127.4,127.2,126.3,126.6,126.4,127.2,128,128.8,129.1,129.3,130,129.8,129.7,130.2,129.3,130.2,129.9,130.5,131,131.6,131.8,"Index, 2015=100",All-items HICP
Estonia,109.94,110.56,109.89,109.52,108.91,109.67,109.69,110.38,110.22,109.51,109.63,109.62,110.22,111.16,110.87,111.3,112.38,113.76,115.07,115.86,117.25,116.96,119.02,122.81,122.39,124.02,127.31,132.59,135.02,138.79,141.73,145.01,145.5,143.23,144.49,144.3,145.16,146.14,147.2,150.04,150.08,151.3,150.56,151.25,151.17,150.45,150.48,150.45,152.35,152.54,153.2,154.76,154.76,155.48,155.82,156.41,155.95,157.2,156.15,156.57,158.17,160.25,159.76,161.61,161.85,"Index, 2015=100",All-items HICP
Ireland,101.1,101.7,102.1,101.7,101.1,101.5,101.3,101.2,100.8,100.3,100.6,100.8,101,101.3,102.2,102.8,103,103.1,103.5,104.2,104.6,105.4,106,106.5,106.1,107.1,109.3,110.3,111.5,113,113.4,113.6,113.6,115.3,115.5,115.2,114.1,115.8,116.9,117.2,117.5,118.4,118.6,119.2,119.3,119.5,118.4,118.9,117.2,118.5,118.9,119.1,119.8,120.2,120.4,120.5,119.3,119.6,119,120.1,119.2,120.2,121,121.5,121.5,"Index, 2015=100",All-items HICP
Greece,101.63,101.27,102.51,102.39,102.23,101.56,100.17,99.45,100.91,101.13,100.31,100.49,99.2,99.39,100.43,101.29,100.98,102.17,100.83,100.68,102.83,104,104.35,104.87,104.65,105.63,108.43,110.55,111.59,114.05,112.19,111.98,115.29,113.85,113.55,112.81,112.29,112.51,114.28,115.55,116.17,117.23,116.08,115.87,118.04,118.17,116.86,116.97,115.89,116.04,118.13,119.24,118.9,120.11,119.55,119.57,121.71,121.8,120.32,120.42,119.53,119.56,121.82,122.39,122.82,"Index, 2015=100",All-items HICP
Spain,103.42,103.36,103.98,104.35,104.41,104.87,103.23,103.23,103.69,104.01,104.12,104.28,103.87,103.27,105.22,106.39,106.95,107.46,106.18,106.65,107.87,109.6,109.87,111.13,110.26,111.15,115.51,115.21,116.03,118.22,117.54,117.84,117.55,117.61,117.22,117.22,116.72,117.82,119.06,119.61,119.44,120.13,120.03,120.68,121.38,121.69,121.05,121.06,120.82,121.29,122.93,123.67,123.95,124.44,123.51,123.54,123.42,123.91,123.95,124.49,124.31,124.8,125.66,126.44,126.4,"Index, 2015=100",All-items HICP
France,105.24,105.27,105.34,105.32,105.49,105.58,106.01,105.89,105.3,105.27,105.5,105.75,106.03,106.07,106.8,107.02,107.38,107.57,107.64,108.38,108.16,108.64,109.09,109.34,109.51,110.49,112.26,112.78,113.63,114.6,114.94,115.49,114.9,116.32,116.81,116.7,117.22,118.55,119.76,120.55,120.46,120.71,120.77,122.1,121.4,121.61,121.32,121.49,121.2,122.35,122.65,123.41,123.59,123.78,124.03,124.77,123.15,123.54,123.36,123.62,123.42,123.49,123.73,124.55,124.32,"Index, 2015=100",All-items HICP
Croatia,103.12,102.65,102.68,102.71,102.58,103.14,103.48,103.27,103.18,103.6,103.36,102.96,103.08,103.32,104.34,104.9,105.01,105.4,106.3,106.51,106.8,107.65,108.18,108.31,108.76,109.8,111.93,114.94,116.27,118.14,119.75,119.9,120.21,121.37,122.19,122.03,122.34,122.68,123.73,125.16,125.88,127.91,129.36,130,129.15,129.52,128.95,128.56,128.19,128.57,129.74,131.06,131.31,132.34,133.69,133.84,133.11,134.13,134.1,134.35,134.66,134.68,135.28,136.26,136.99,"Index, 2015=100",All-items HICP
