Country,Class,YearMonth,Refugee_Flow,Dataset.x,Index..2015.100,Percentage.of.population.in.the.labour.force..Non.Seasonal.Adjusted.,Unit.of.measure,Dataset.y,Compensation_of_employees,Exports_of_goods_and_services,Final_consumption_expenditure,Gross_domestic_product_at_market_prices,Imports_of_goods_and_services,Value_added._gross,Wages_and_salaries,Less_than_primary._primary_and_lower_secondary_education_.levels_0.2.,Upper_secondary_and_post.secondary_non.tertiary_education_.levels_3_and_4.,Upper_secondary_and_post.secondary_non.tertiary_education_.levels_3_and_4._._general,Upper_secondary_and_post.secondary_non.tertiary_education_.levels_3_and_4._._vocational,Upper_secondary._post.secondary_non.tertiary_and_tertiary_education_.levels_3.8.,Total_employment_.resident_population_concept_._LFS.,Capital,Latitude,Longitude,Distance_km,Borders_Ukraine,Year,Region,C.T,Status,PR.rating,CL.rating,A1,A2,A3,A,B1,B2,B3,B4,B,C1,C2,C3,C,Add.Q,Add.A,PR,D1,D2,D3,D4,D,E1,E2,E3,E,F1,F2,F3,F4,F,G1,G2,G3,G4,G,CL,Total
Belgium,TempProtectionBeneficiaries,X2022.03,25930,All-items HICP,120.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.03,25930,Percentage of population in the labour force (Non Seasonal Adjusted),NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.04,36745,All-items HICP,120.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.04,36745,Percentage of population in the labour force (Non Seasonal Adjusted),NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.05,43780,All-items HICP,121.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.05,43780,Percentage of population in the labour force (Non Seasonal Adjusted),NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.06,47945,All-items HICP,122.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.06,47945,Percentage of population in the labour force (Non Seasonal Adjusted),NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.07,51035,All-items HICP,122.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,TempProtectionBeneficiaries,X2022.07,51035,Percentage of population in the labour force (Non Seasonal Adjusted),NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brussels,50.8503,4.3517,1838.1141013455838,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
